Time_1s,Driver_ID,LapID,GPS Longitude,GPS Latitude,GPS Bearing,Accelerometer (Total),Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Coolant,RPM,Altitude(GPS),OBD Speed,kff1298,Torque,F_M,AuthorisedClass
569,22,3,-0.301408,51.593265,161.4,-0.028257,-0.264526,0.579817,0.633129,93,1208,41.8,26,12.0777,21.9798,F,No
492,21,1,-0.302242,51.594815,165.66,0.064067,0.451988,0.262589,0.826402,83,1383,37.2,25,12.0781,35.8528,F,No
124,5,3,-0.296308,51.590565,16.04,0.002599,0.249847,0.590622,0.670234,90,1370,32.4,19,12.0782,12.275,M,No
457,22,2,-0.3034,51.595948,155.29,-0.068391,-0.048726,0.509582,0.677982,91,1150,48.8,36,12.0798,61.3906,F,No
255,5,3,-0.294378,51.595453,311.29,0.052538,0.196228,0.593476,0.746381,91,1667,38,20,12.0803,12.0225,M,No
605,21,3,-0.301672,51.593683,161.54,0.014343,0.633537,-0.079001,0.687768,91,1328,133.9,29,12.0804,24.094,F,No
216,23,1,-0.292045,51.594298,106.84,0.018385,0.57788,0.029256,0.737615,90,598,39.8,1,12.081,0,F,No
233,20,2,-0.292837,51.594815,293.68,0.001095,-0.1737,0.055556,0.883996,94,597,43.2,3,12.0813,0,M,No
204,3,3,-0.297588,51.602697,338.62,-0.031998,-0.051682,0.257696,0.831295,87,1028,39.7,36,12.082,0,F,Yes
368,20,2,-0.299788,51.60252,255.58,0.036594,-0.317227,-0.081957,0.883078,94,1471,55.2,33,12.0827,45.4006,M,No
500,22,3,-0.304292,51.597147,156.66,-0.069186,-0.202039,0.458818,0.683894,93,1181,48.9,36,12.0829,27.861,F,No
498,21,2,-0.303007,51.595657,153.12,-0.202566,0.481244,-0.105403,0.526707,87,1185,55,38,12.0837,31.3462,F,No
568,22,3,-0.30144,51.593327,163.48,0.178958,-0.215698,0.585729,0.899694,93,1097,41.7,25,12.0842,21.9798,F,No
350,5,2,-0.297013,51.60174,341.73,0.007958,0.008767,0.413863,0.818654,87,1077,53.6,51,12.0844,0,M,No
405,20,2,-0.303358,51.601913,249.36,-0.011309,-0.178593,-0.104383,0.866463,94,975,54.4,24,12.085,0,M,No
340,3,2,-0.304883,51.597917,154.96,0.733996,0.114169,0.449032,1.570336,86,1291,54.6,54,12.0865,37.1526,F,Yes
604,21,3,-0.301713,51.593755,161.45,0.355895,0.49001,-0.366055,1.109582,91,1216,133.8,28,12.0867,24.094,F,No
123,5,3,-0.296327,51.590517,12.51,-0.076979,0.092661,0.623751,0.573598,90,1390,32.4,18,12.0871,34.2472,M,No
26,5,3,-0.29928,51.588877,10.25,0.040489,-0.148318,0.612029,0.727829,88,1117,33.5,10,12.0873,8.3417,M,No
46,22,2,-0.299137,51.588633,187.92,-0.037198,0.126911,0.355352,0.785423,93,792,38.7,16,12.0887,22.4931,F,No
254,5,3,-0.29431,51.595423,298.89,0.064891,0.2421,0.540775,0.784404,91,1476,37.8,20,12.089,30.0974,M,No
499,22,3,-0.304343,51.597225,158.37,-0.163947,-0.177676,0.433435,0.592151,93,1548,49,35,12.09,48.6904,F,No
456,22,2,-0.30345,51.596025,155.97,0.105126,0.007747,0.545668,0.86055,91,1089,48.1,34,12.0906,28.8885,F,No
203,3,3,-0.297522,51.602593,339.02,0.014649,-0.052701,0.232314,0.885933,87,1246,39.2,43,12.0907,0,F,Yes
567,22,3,-0.30147,51.593393,165.14,0.037854,-0.391437,0.500816,0.71998,93,1095,41.5,26,12.091,21.9798,F,No
22,5,3,-0.299293,51.58879,30.95,-0.017236,-0.054638,0.665749,0.620387,88,1099,33.5,4,12.0915,8.0482,M,No
355,20,1,-0.30241,51.602112,239.22,0.017627,-0.306524,0.071254,0.86738,92,607,48.7,21,12.0917,0,M,No
395,20,2,-0.302767,51.602057,252.84,-0.023153,-0.256677,-0.096636,0.837207,94,584,55.8,0,12.0928,0,M,No
574,21,1,-0.299093,51.589723,147.99,0.031283,0.709684,-0.131702,0.636086,86,1116,20.6,6,12.0928,4.3265,F,No
603,21,3,-0.301748,51.593827,160.76,0.072213,0.50367,-0.017533,0.845973,91,1180,133.5,28,12.0929,24.094,F,No
139,5,2,-0.296588,51.589935,16.84,0.017247,-0.048726,0.526198,0.768807,82,1453,34.9,13,12.0933,8.7801,M,No
367,20,2,-0.299663,51.602547,254.69,-0.000106,-0.321101,-0.081957,0.843017,94,1440,55.2,31,12.0936,0,M,No
497,21,2,-0.30307,51.595738,152.09,0.096236,0.695005,-0.114169,0.739552,87,1210,55.1,38,12.094,31.3462,F,No
122,5,3,-0.29634,51.590477,12.64,0.071079,0.094597,0.714577,0.691743,90,1529,32.4,16,12.0964,0,M,No
498,22,3,-0.304393,51.597302,159.09,0.086488,-0.130785,0.504689,0.852803,93,1485,49.3,33,12.0967,40.9732,F,No
404,20,2,-0.303257,51.601938,249.09,0.013061,-0.208868,-0.117125,0.883996,94,990,54.4,25,12.0969,24.4802,M,No
253,5,3,-0.294228,51.595397,285.44,0.0456,0.198165,0.522222,0.783486,91,1420,37.8,19,12.097,30.0974,M,No
25,5,3,-0.299288,51.588852,16.75,0.037382,-0.09949,0.586646,0.749337,88,1134,33.5,10,12.0974,8.3417,M,No
566,22,3,-0.301497,51.593462,161.93,-0.027531,-0.166871,0.538838,0.691743,93,1164,41.8,27,12.0975,0,F,No
339,3,2,-0.304978,51.598035,154.26,-0.073292,0.069215,0.263507,0.785423,86,1300,54.5,53,12.0987,37.1526,F,Yes
349,5,2,-0.296948,51.60162,342.64,-0.030407,-0.022426,0.535882,0.707339,87,1084,54.1,51,12.0987,94.224,M,No
602,21,3,-0.30179,51.5939,159.33,0.018922,0.501733,-0.072171,0.783486,91,1208,133.2,27,12.0992,22.2981,F,No
202,3,3,-0.297447,51.60248,339.34,-0.005008,-0.008767,0.096636,0.889908,87,1344,38.7,48,12.0995,0,F,Yes
31,5,3,-0.299183,51.588973,69.02,0.001378,0.038022,0.476351,0.779613,88,584,32.5,4,12.0997,0,M,No
491,21,1,-0.302292,51.594863,153.65,0.253551,0.1737,-0.149337,1.132008,83,1247,35.8,23,12.1005,0,F,No
455,22,2,-0.303497,51.5961,158.06,0.00703,-0.135678,0.637411,0.667278,91,1042,47.4,32,12.1017,0,F,No
283,22,1,-0.297185,51.602015,341.61,0.005968,-0.01366,0.303568,0.858614,92,960,59.9,47,12.1027,0,F,No
497,22,3,-0.304443,51.597375,157.49,0.045712,-0.314271,0.543731,0.735678,93,1412,49.4,31,12.1036,21.6812,F,No
81,5,2,-0.29912,51.588403,159.8,0.046832,0.229358,0.391437,0.843017,79,600,41.6,0,12.1041,0,M,No
565,22,3,-0.301537,51.593525,155.28,0.023866,-0.049745,0.507645,0.78736,93,1183,41.9,26,12.1042,0,F,No
496,21,2,-0.303142,51.59582,152.86,-0.049378,0.619878,-0.117125,0.610703,87,1183,55.2,37,12.1044,33.8842,F,No
601,21,3,-0.30183,51.593975,157.94,0.090186,0.440265,-0.160041,0.883996,91,1182,133,27,12.1054,0,F,No
121,5,3,-0.296357,51.590438,13,0.070128,0.060449,0.528135,0.828338,90,691,32.4,15,12.1056,0,M,No
252,5,3,-0.294138,51.59538,282.17,-0.024956,0.072171,0.517329,0.722936,91,1126,37.6,20,12.1057,30.0974,M,No
366,20,2,-0.299543,51.602568,253.45,0.095338,-0.406116,-0.163914,0.903568,94,1445,55.2,30,12.1059,0,M,No
507,21,2,-0.302655,51.595142,150.51,-0.010039,0.546687,-0.132722,0.714169,86,596,53.4,0,12.1065,0,F,No
45,22,2,-0.299127,51.588677,186.28,-0.02527,0.071254,0.382671,0.793272,93,707,38.7,18,12.1068,22.4931,F,No
24,5,3,-0.299292,51.588827,20.66,-0.087071,-0.084913,0.625688,0.55892,88,1201,33.5,10,12.1079,15.5883,M,No
201,3,3,-0.29737,51.602353,339.79,0.12972,-0.043833,0.213761,1.008053,87,1369,38.2,51,12.1081,0,F,Yes
403,20,2,-0.303158,51.601967,250.32,-0.368363,-0.182467,-0.015596,0.504281,93,1078,54.6,26,12.1098,24.4802,M,No
496,22,3,-0.304493,51.597443,153.39,0.125851,-0.310398,0.647197,0.766871,93,1395,49.4,30,12.1105,0,F,No
564,22,3,-0.301588,51.593588,151.8,-0.02803,-0.044852,0.487054,0.739552,93,1126,41.7,26,12.111,0,F,No
338,3,2,-0.305077,51.598153,153.57,-0.045717,0.050765,0.262589,0.815698,86,1433,54.3,53,12.1114,37.1526,F,Yes
600,21,3,-0.301872,51.594053,157.58,0.118109,0.359225,-0.379715,0.887971,91,1166,132.7,26,12.1115,24.9305,F,No
454,22,2,-0.303542,51.596173,159.73,-0.151109,-0.165953,0.568094,0.508155,91,965,47.2,31,12.1126,0,F,No
251,5,3,-0.294052,51.595367,281.61,-0.045701,0.055556,0.604281,0.636086,91,1663,37.5,20,12.1139,47.8591,M,No
138,5,2,-0.296598,51.589903,18.5,0.033887,0.030173,0.55739,0.769827,82,1378,34.7,12,12.114,8.7801,M,No
348,5,2,-0.296885,51.601495,341.69,0.105444,0.080938,0.459735,0.901631,87,1089,54.2,52,12.1141,94.224,M,No
530,22,3,-0.302753,51.595112,158.27,0.004456,-0.139551,0.535882,0.737615,92,602,47.1,0,12.1146,0,F,No
495,21,2,-0.303213,51.5959,154.59,0.102069,0.694088,-0.0263,0.755148,87,1149,55.3,37,12.1148,30.3427,F,No
120,5,3,-0.296375,51.590392,13.79,-0.065946,-0.067278,0.541794,0.657492,90,721,32.5,20,12.1149,23.8477,M,No
200,3,3,-0.29729,51.602222,340.02,-0.048286,-0.029256,0.143425,0.840061,87,1178,37.7,56,12.1169,86.2476,F,Yes
495,22,3,-0.304547,51.597512,154.46,0.004504,-0.281142,0.548624,0.692661,93,1318,49.3,30,12.1174,25.5821,F,No
563,22,3,-0.301635,51.593643,154.09,0.05637,-0.324057,0.488073,0.778593,93,1128,41.8,26,12.1175,43.431,F,No
599,21,3,-0.301907,51.59412,157.19,-0.037076,0.343629,-0.01264,0.799083,91,1094,132.4,27,12.1178,24.9305,F,No
23,5,3,-0.299295,51.588803,24.25,-0.031432,-0.104383,0.648216,0.611621,88,1145,33.5,8,12.118,23.2371,M,No
365,20,2,-0.299423,51.602588,252.66,-0.028425,-0.294801,-0.060449,0.823445,94,1300,55.3,30,12.1196,0,M,No
402,20,2,-0.303058,51.601997,252.64,0.012647,-0.210805,-0.079001,0.886952,93,1081,54.7,27,12.1217,24.4802,M,No
250,5,3,-0.293982,51.595357,289.44,0.02566,-0.022426,0.686238,0.661468,91,1889,37.4,16,12.1228,50.2133,M,No
490,21,1,-0.302323,51.594917,128.44,0.018007,0.882467,-0.014577,0.406626,83,1022,35.5,23,12.1232,46.3492,F,No
337,3,2,-0.305175,51.598267,154.11,0.161976,0.065341,0.316208,1.0158,86,1609,53.9,52,12.1236,66.8657,F,Yes
598,21,3,-0.301948,51.594187,156.87,0.038984,0.314271,-0.131702,0.881142,91,1183,132.2,30,12.1241,24.9305,F,No
562,22,3,-0.301678,51.593698,153.95,-0.003179,-0.33578,0.512538,0.685831,93,1117,42.1,26,12.1242,43.431,F,No
453,22,2,-0.303588,51.596252,158.71,0.011247,-0.11315,0.545668,0.743425,91,911,47.2,32,12.1243,0,F,No
494,22,3,-0.304603,51.597588,154.9,0.071203,-0.340673,0.469521,0.800102,93,1315,49.9,32,12.1246,25.5821,F,No
119,5,3,-0.296397,51.590333,12.71,-0.026132,-0.010703,0.583792,0.679001,90,994,32.6,24,12.1246,23.8477,M,No
468,3,2,-0.299272,51.588722,358.55,0.000877,-0.075127,0.240061,0.8684,86,598,31.3,0,12.1248,0,F,Yes
68,3,3,-0.29531,51.592385,242.01,-0.001747,-0.142508,-0.283996,0.845973,88,601,26.8,0,12.1252,0,F,Yes
494,21,2,-0.30328,51.595985,156.32,0.102654,0.724363,-0.09949,0.724873,87,1131,55.4,36,12.1252,30.3427,F,No
44,22,2,-0.29912,51.588722,184.02,0.034257,0.073191,0.447095,0.829358,93,1180,38.6,19,12.1253,22.4931,F,No
354,20,1,-0.302333,51.602142,243.15,-0.077343,-0.306524,0.01264,0.769827,92,661,48.5,21,12.1253,0,M,No
199,3,3,-0.297218,51.60208,339.09,0.065117,-0.078084,0.075127,0.959225,87,1228,37.3,57,12.1254,86.2476,F,Yes
347,5,2,-0.296818,51.601367,342.53,-0.118778,-0.022426,0.399286,0.684913,87,1070,54.9,52,12.1291,94.224,M,No
597,21,3,-0.301983,51.59424,156.71,0.013972,0.361162,-0.182467,0.829358,91,1299,132,31,12.1304,45.1393,F,No
249,5,3,-0.293923,51.595337,325.62,0.004035,0.00683,0.704791,0.614577,91,1666,37.4,11,12.1308,31.5556,M,No
248,5,3,-0.293917,51.595335,325.62,0.022025,0.068298,0.697044,0.643833,91,1380,37.4,5,12.1309,0,M,No
561,22,3,-0.301725,51.593755,152.66,0.029759,-0.142508,0.486137,0.796126,93,1159,42.3,27,12.1309,43.431,F,No
493,22,3,-0.304657,51.597663,158.04,-0.182613,-0.206932,0.40897,0.576453,93,1426,50.2,34,12.1316,25.5821,F,No
364,20,2,-0.299302,51.602612,250.38,0.010681,-0.269419,-0.111213,0.86738,94,1303,55.3,30,12.1322,24.3092,M,No
401,20,2,-0.30297,51.602018,253.65,0.012646,-0.214679,-0.050765,0.887971,93,1170,54.8,27,12.1328,67.2864,M,No
137,5,2,-0.29661,51.589868,21.24,-0.011121,-0.027319,0.472477,0.76789,82,1003,34.5,11,12.1332,0,M,No
118,5,3,-0.29642,51.590275,14.33,0.013645,0.094597,0.57105,0.731702,90,1080,32.7,27,12.1338,23.8477,M,No
198,3,3,-0.297137,51.601945,340.93,-0.040217,-0.077064,0.055556,0.85474,87,1257,36.8,58,12.1344,86.2476,F,Yes
452,22,2,-0.303642,51.596335,156.92,0.112751,0.028236,0.344546,0.957288,91,1029,47.1,36,12.1351,32.7314,F,No
336,3,2,-0.305267,51.598378,157.23,0.038073,0.023344,0.374822,0.86738,86,1605,53.7,50,12.1355,67.3355,F,Yes
493,21,2,-0.303342,51.59607,157.45,0.098273,0.660856,-0.149337,0.763914,87,1082,55.6,35,12.1356,0,F,No
596,21,3,-0.302025,51.594295,157.71,0.053897,0.378695,-0.190316,0.864526,91,1346,131.7,29,12.1366,0,F,No
560,22,3,-0.301768,51.59381,153.5,0.006441,-0.346483,0.600306,0.629256,93,1185,42.6,26,12.1374,19.3724,F,No
492,22,3,-0.304703,51.597742,160.32,-0.030625,-0.22844,0.532008,0.677064,93,1453,50.4,33,12.1382,22.8772,F,No
282,22,1,-0.297123,51.601902,341.72,0.278627,-0.141488,0.397248,1.106626,92,959,59.9,48,12.1394,0,F,No
595,21,3,-0.302068,51.594353,159.03,0.024584,0.418756,-0.052701,0.833231,91,1239,131.4,28,12.1429,42.2001,F,No
197,3,3,-0.297068,51.601805,341.15,-0.044227,-0.090724,-0.123955,0.843017,88,1351,36.4,57,12.143,41.2179,F,Yes
639,22,3,-0.299093,51.589772,111.14,0.006377,-0.104383,0.181549,0.883996,93,600,36.5,0,12.1432,0,F,No
117,5,3,-0.296447,51.590205,13.11,-0.02431,-0.025382,0.579817,0.683894,90,1238,32.7,29,12.1434,33.9679,M,No
346,5,2,-0.296755,51.601242,343.19,-0.050081,0.068298,0.530071,0.684913,87,1625,55.4,51,12.1439,61.5731,M,No
559,22,3,-0.301812,51.593868,154.97,0.159181,-0.458818,0.443221,0.86738,93,1140,43.1,24,12.1441,0,F,No
43,22,2,-0.299117,51.588765,184.38,0.051218,0.048726,0.486137,0.830377,93,1819,38.6,17,12.1441,32.7943,F,No
363,20,2,-0.299185,51.60264,250.34,-0.013415,-0.256677,-0.030173,0.851784,94,1336,55.3,32,12.1446,24.3092,M,No
491,22,3,-0.304747,51.59782,162.04,-0.0494,-0.267482,0.488073,0.670234,93,1412,50.5,32,12.1452,0,F,No
489,21,1,-0.302405,51.594955,120.07,-0.025658,0.585729,-0.146381,0.664322,83,1055,35.4,26,12.1453,46.3492,F,No
400,20,2,-0.3029,51.602035,255.31,0.012566,-0.277166,-0.117125,0.866463,94,1713,55.1,25,12.1457,79.7458,M,No
451,22,2,-0.303703,51.596422,157.2,-0.017635,-0.192253,0.453925,0.749337,91,1138,47.4,39,12.146,32.7314,F,No
492,21,2,-0.303398,51.596155,156.89,-0.04278,0.592559,-0.112232,0.642915,87,1076,55.7,35,12.146,0,F,No
270,5,2,-0.293415,51.59504,1.63,0.007877,0.091743,0.574006,0.722936,88,599,36.1,0,12.1471,0,M,No
335,3,2,-0.305348,51.598492,156.31,0.048171,-0.045872,0.297757,0.903568,87,1542,53.5,48,12.1482,0,F,Yes
594,21,3,-0.30209,51.594397,158.35,0.211068,0.390418,0.045872,1.045056,91,1191,131.1,28,12.1492,42.2001,F,No
558,22,3,-0.301855,51.593927,157.12,0.231931,-0.491947,0.423649,0.946483,93,1018,43.6,24,12.1508,0,F,No
196,3,3,-0.297,51.601673,341.6,-0.101219,-0.075127,-0.014577,0.795209,88,1316,35.9,55,12.1517,37.0049,F,Yes
490,22,3,-0.304792,51.597897,159.3,-0.134103,-0.068298,0.369011,0.68002,93,1348,50.7,32,12.152,40.0437,F,No
116,5,3,-0.296473,51.590138,16.89,0.019774,0.033129,0.714577,0.6263,90,1321,32.6,27,12.1524,33.9679,M,No
136,5,2,-0.296628,51.589833,23.01,-0.189581,0.010703,0.406116,0.600917,82,640,34.3,13,12.1529,0,M,No
81,14,1,-0.295702,51.591177,20.56,0.006701,-0.130785,0.280122,0.857696,49,1387,52.5,33,12.1543,0,F,No
353,20,1,-0.302248,51.60217,248.33,0.165842,-0.313354,-0.130785,1.014883,92,709,48,21,12.1546,0,M,No
593,21,3,-0.302103,51.594438,154.72,-0.06375,0.337717,-0.018451,0.772681,91,1240,130.8,30,12.1556,42.2001,F,No
491,21,2,-0.303462,51.596242,156.69,0.109014,0.660856,-0.070234,0.78736,87,1083,55.9,36,12.1563,0,F,No
362,20,2,-0.299067,51.602673,251.83,-0.014957,-0.283078,-0.076147,0.840061,93,1418,55.3,32,12.157,24.3092,M,No
450,22,2,-0.303767,51.596512,157.18,-0.058907,-0.039042,0.506626,0.691743,91,1180,47.8,41,12.1575,32.7314,F,No
557,22,3,-0.301897,51.593987,156.99,0.002384,-0.327931,0.447095,0.734659,93,989,44.2,26,12.1575,23.9692,F,No
399,20,2,-0.302845,51.602045,258.12,-0.052945,-0.309378,-0.163914,0.779613,94,1871,55.1,19,12.1577,46.6718,M,No
345,5,2,-0.296697,51.601123,343.13,0.053741,-0.061468,0.493986,0.828338,87,1621,55.8,49,12.1586,30.3522,M,No
489,22,3,-0.304845,51.597975,153.75,0.282207,-0.698981,0.48318,0.412538,93,1331,51,33,12.1591,40.0437,F,No
195,3,3,-0.296932,51.601543,341.99,-0.010211,-0.127829,0.00581,0.881142,88,1223,35.5,54,12.1604,0,F,Yes
334,3,2,-0.305433,51.598608,156.06,0.015665,-0.030173,0.196228,0.895719,87,1207,53.5,50,12.1605,0,F,Yes
592,21,3,-0.30212,51.594453,150.46,-0.046035,0.383588,-0.144444,0.76106,91,1546,130.5,31,12.1619,103.9945,F,No
115,5,3,-0.296502,51.590078,17.06,0.077651,-0.016514,0.701835,0.717125,90,1725,32.6,25,12.162,54.6675,M,No
42,22,2,-0.299112,51.5888,186.9,-0.037548,-0.035066,0.598369,0.652599,93,1647,38.5,14,12.1636,7.1849,F,No
531,22,3,-0.302755,51.595117,158.27,0.001544,-0.130785,0.538838,0.733639,92,599,47.1,0,12.1638,0,F,No
556,22,3,-0.301943,51.594047,155.56,-0.000828,-0.356269,0.547605,0.655556,93,1137,44.6,27,12.1643,23.9692,F,No
488,22,3,-0.304907,51.59805,151.01,-0.084496,-0.112232,0.365036,0.731702,93,1448,51.1,34,12.166,40.0437,F,No
490,21,2,-0.303518,51.596327,155.5,0.19474,0.649134,-0.087768,0.898675,87,1026,56.2,36,12.1669,32.8819,F,No
591,21,3,-0.302132,51.594475,148.41,0.005763,0.446075,-0.265443,0.76106,91,2078,130.1,29,12.168,103.9945,F,No
1,21,2,-0.299215,51.58869,342.3,0.019305,0.590622,0.162997,0.714169,87,599,16.2,0,12.1682,0,F,No
449,22,2,-0.303832,51.596605,157.54,-0.017179,-0.054638,0.523242,0.729766,91,1282,47.8,42,12.1683,0,F,No
488,21,1,-0.302488,51.594983,117.9,-0.091866,0.671662,0.043833,0.509174,83,1615,35.4,28,12.1684,46.3492,F,No
194,3,3,-0.296862,51.601413,343.08,-0.031935,-0.155148,0.030173,0.85474,88,1147,35.1,54,12.1692,0,F,Yes
361,20,2,-0.298957,51.602697,252.2,0.029766,-0.32314,-0.152294,0.865443,93,1427,55.2,31,12.1697,24.0263,M,No
398,20,2,-0.3028,51.602055,261.89,0.00351,-0.357288,-0.196228,0.816616,94,1638,55.2,13,12.17,38.5785,M,No
555,22,3,-0.301988,51.594107,152.52,-0.027947,-0.165953,0.454842,0.742508,93,1126,45.1,28,12.1708,23.9692,F,No
114,5,3,-0.29653,51.590027,19.06,0.028955,0.066361,0.73211,0.61947,90,1702,32.5,22,12.1712,39.5787,M,No
32,5,3,-0.299163,51.588982,71.28,0.028612,0.069215,0.523242,0.782467,88,584,32.2,2,12.1723,0,M,No
333,3,2,-0.305527,51.598735,156.55,-0.005471,0.088787,0.22844,0.863507,87,1137,53.6,54,12.1729,0,F,Yes
487,22,3,-0.304972,51.59812,151.41,-0.127909,-0.168807,0.442202,0.63211,93,1503,50.9,33,12.173,65.3692,F,No
344,5,2,-0.29664,51.601008,343.11,-0.122285,0.08685,0.519368,0.601835,87,1445,56,47,12.174,0,M,No
135,5,2,-0.296648,51.589795,26.05,-0.134357,0.057594,0.407034,0.661468,82,708,34.2,14,12.1743,23.6597,M,No
590,21,3,-0.302138,51.594483,148.06,0.096981,0.55158,-0.241081,0.816616,91,2065,129.8,21,12.175,8.7055,F,No
489,21,2,-0.30358,51.596412,154.37,0.021858,0.687258,0.040979,0.654638,87,1109,56.3,37,12.1772,32.8819,F,No
554,22,3,-0.302043,51.59417,148.79,0.065269,-0.018451,0.450968,0.864526,93,1224,45.5,29,12.1777,45.3849,F,No
193,3,3,-0.2968,51.601287,343.79,0.004011,-0.109276,0.043833,0.896738,88,1174,34.7,54,12.1779,0,F,Yes
448,22,2,-0.303898,51.596698,155.12,-0.117167,0.073191,0.445158,0.658512,91,1276,47.8,41,12.1798,30.9653,F,No
396,20,2,-0.30277,51.602058,252.84,-0.00317,-0.377778,-0.033129,0.821509,94,1032,55.9,5,12.1799,23.5297,M,No
508,21,2,-0.30261,51.595098,148.85,0.016483,0.656983,-0.234251,0.63894,87,992,53.2,0,12.1799,0,F,No
486,22,3,-0.305028,51.598187,157.22,-0.143551,-0.355352,0.455861,0.5316,93,1495,50.7,32,12.18,56.7097,F,No
281,22,1,-0.297062,51.601782,341.96,0.122762,-0.057594,0.481244,0.912334,92,1028,59.6,49,12.1805,0,F,No
113,5,3,-0.296557,51.589982,20.81,0.158007,0.032212,0.73211,0.796126,90,1637,32.5,19,12.181,10.8863,M,No
589,21,3,-0.302177,51.594498,153.4,0.016553,0.507645,-0.090724,0.775637,91,1631,129.4,14,12.1813,26.6604,F,No
41,22,2,-0.299107,51.58883,190.2,-0.225337,0.337717,0.141488,0.582365,93,1319,38.5,12,12.1814,8.5927,F,No
397,20,2,-0.302778,51.602057,253.11,-0.002237,-0.277166,-0.146381,0.846891,94,1226,55.6,10,12.1816,38.5785,M,No
360,20,2,-0.298847,51.60272,252.32,0.034101,-0.315291,-0.092661,0.880122,93,1367,55,31,12.1821,46.5762,M,No
553,22,3,-0.302097,51.594227,147.47,-0.015038,-0.24893,0.559327,0.671152,93,1254,45.8,27,12.1845,44.9051,F,No
332,3,2,-0.305623,51.59887,156.01,0.116402,0.051682,0.217635,0.993374,87,1187,53.6,56,12.1851,0,F,Yes
234,20,2,-0.292848,51.59482,293.68,0.002025,-0.259633,0.011621,0.86738,94,600,43.2,1,12.1853,0,M,No
485,22,3,-0.30507,51.598252,157.59,0.012672,-0.32212,0.595515,0.652599,93,1455,50.7,28,12.1868,50.617,F,No
192,3,3,-0.296738,51.601157,343.82,0.177551,-0.151274,0.043833,1.066565,88,1211,34.2,54,12.1869,0,F,Yes
588,21,3,-0.302227,51.59453,156.39,-0.154134,0.390418,-0.110296,0.641896,91,694,129.2,13,12.1875,26.6604,F,No
488,21,2,-0.303642,51.596495,153.71,-0.113775,0.660856,-0.052701,0.487666,87,1138,56.4,37,12.188,32.8819,F,No
343,5,2,-0.296583,51.600895,342.96,-0.075022,0.021407,0.310398,0.770744,87,1444,56.1,47,12.1889,0,M,No
640,22,3,-0.299093,51.589772,111.14,0.009283,-0.114169,0.175637,0.886952,93,600,36.5,0,12.1894,0,F,No
112,5,3,-0.296582,51.589943,21.14,0.048734,0.008767,0.662793,0.712232,90,1309,32.5,16,12.1904,0,M,No
487,21,1,-0.302565,51.595008,120.09,-0.002717,0.525178,0.081957,0.743425,83,1833,35.4,26,12.1909,56.8515,F,No
447,22,2,-0.303972,51.596792,153.02,0.066115,-0.189297,0.530071,0.804995,91,1274,47.5,41,12.191,30.9653,F,No
552,22,3,-0.302152,51.594278,148.74,0.043282,-0.26157,0.527115,0.76106,93,1193,46.1,26,12.1911,0,F,No
352,20,1,-0.302152,51.602193,253.29,0.019272,-0.166871,-0.037003,0.904485,92,1032,47.7,25,12.1912,0,M,No
484,22,3,-0.305105,51.598313,157.99,0.008299,-0.220591,0.495922,0.749337,93,1823,50.7,26,12.1938,50.617,F,No
587,21,3,-0.30228,51.594557,160.93,0.240901,0.234251,0.301631,1.080224,91,832,129,22,12.194,26.6604,F,No
134,5,2,-0.296673,51.589758,27.24,-0.011497,-0.252803,0.485117,0.722936,82,746,34,16,12.1941,23.6597,M,No
359,20,2,-0.298738,51.602743,251.48,-0.0191,-0.271356,-0.097554,0.837207,93,1353,55,30,12.1945,46.5762,M,No
191,3,3,-0.296675,51.601023,342.93,-0.085152,-0.131702,0.073191,0.802039,88,1170,33.8,54,12.1957,0,F,Yes
551,22,3,-0.302203,51.59433,149.56,-0.014163,-0.034149,0.50367,0.746381,93,1095,46.3,24,12.1979,0,F,No
331,3,2,-0.305723,51.599007,156.71,-0.150154,0.044852,0.213761,0.720999,87,1215,53.6,58,12.1979,0,F,Yes
487,21,2,-0.303707,51.59658,154.13,0.026628,0.627727,-0.141488,0.69949,87,1167,56.6,37,12.1983,32.8819,F,No
69,3,3,-0.2954,51.592397,145.72,-0.005353,-0.137615,-0.263507,0.848828,88,596,27.9,0,12.1985,0,F,Yes
111,5,3,-0.296607,51.589907,21.64,0.175469,-0.007747,0.798573,0.761978,90,1035,32.3,16,12.1995,17.4317,M,No
40,22,2,-0.299107,51.588857,171.9,0.017233,0.059531,0.482263,0.793272,93,1275,38.5,11,12.2001,25.4265,F,No
586,21,3,-0.302315,51.5946,163.8,0.065931,0.466565,-0.151274,0.845973,91,688,128.8,21,12.2003,22.3968,F,No
483,22,3,-0.305142,51.598362,158.96,-0.012035,-0.063405,0.49001,0.755148,93,1714,50.5,22,12.2009,51.7515,F,No
446,22,2,-0.30405,51.596883,152.03,0.110776,-0.208868,0.549541,0.841998,91,1265,47.6,41,12.2019,30.9653,F,No
37,22,2,-0.299153,51.588893,138.05,0.004951,0.083894,0.474414,0.781549,93,971,38.5,5,12.2029,7.7886,F,No
469,3,2,-0.299273,51.588722,358.55,0.002637,0.015596,0.330887,0.845973,86,932,31.3,0,12.2031,0,F,Yes
342,5,2,-0.29653,51.600785,343.94,0.003668,0.018451,0.411927,0.814679,87,1416,55.8,47,12.2036,0,M,No
190,3,3,-0.296612,51.600898,343.41,-0.006597,-0.063405,0.020489,0.890826,89,1182,33.2,55,12.2044,0,F,Yes
